vendor,device_type_name,slug,created
arista,DCS-7050DX4-32S-F,arista-dcs-7050dx4-32s-f,yes
arista,DCS-7060X6-64PE-F,arista-dcs-7060x6-64pe-f,no
arista,DCS-7808-CH,arista-dcs-7808-ch,no
dell,PowerEdge C6525,dell-poweredge-c6525,yes
dell,PowerEdge R740xd,dell-poweredge-r740xd,yes
edgecore,Accton-AS4630-54TE,edgecore-accton-as4630-54te,no
edgecore,Accton-AS7326-56X,edgecore-accton-as7326-56x,no
edgecore,Accton-AS9737-32DB,edgecore-accton-as9737-32db,no
edgecore,Accton-AS9817-64O,edgecore-accton-as9817-64o,no
juniper,MX304,juniper-mx304,yes
juniper,SRX4700,juniper-srx4700,yes
nvent,Enlogic-EN6952,nvent-enlogic-en6952,no
nvent,RackChiller RDHX PRO,nvent-rackchiller-rdhx-pro,no
opengear,IM7248-2-DAC,opengear-im7248-2-dac,yes
opengear,OBB - unknown,,no
proxmox,Virtual Machine,proxmox-virtual-machine,no
proxmox,Linux Container,proxmox-linux-container,no
supermicro,AS-1115CS-TNR,supermicro-as-1115cs-tnr,yes
supermicro,AS-2115HS-TNR,supermicro-as-2115hs-tnr,no
supermicro,AS-4126GS-NMR-LCC,supermicro-as-4126gs-nmr-lcc,no
supermicro,AS-8125GS-TNMR2,supermicro-as-8125gs-tnmr2,no
supermicro,LCS-SCDU-250L-4002,supermicro-lcs-scdu-250l-4002,no
